Id,Title,Description,LikeCount,DislikeCount,ViewCount,FavoriteCount,CommentCount
PG3vxLHo1Ws,Rise of Julius Caesar | World History | Khan Academy,Julius Caesar conquers Gaul and ignites a Civil War. Watch the next lesson: ...,156,1,10562,0,11
JhIAduDZKMY,Khan Academy Tasty Tomato,This is a tutorial for the Khan Academy challenge Tasty Tomato. Please if you like this content subscribe for more.,3,0,615,0,1
9IXn3xHhkgg,Roman social and political structures | World History | Khan Academy,Patricians and plebeians; Roman citizens and Senate and consuls: learn about the political and social structures of ancient Rome. Practice this yourself on Khan ...,181,5,10875,0,17
znIDCj_TL6c,Khan Academy Parting Clouds,This a tutorial about the Khan Academy project Parting clouds.,7,0,765,0,3
AQf3gKTCffs,Photoperiodism  | Plant Biology | Khan Academy,How plants can regulate processes like flowering based on day length (photoperiod). Watch the next lesson: ...,93,3,8493,0,7
lJlHWH_eiss,Khan Academy Simple Snowman and Waving Snowman Tutorial,This video shows you how to complete the Simple Snowman and Waving Snowman assignments in Khan Academy. Khan Academy made these assignments ...,10,0,389,0,0
XWvzsajcg0s,O ciclo da água | Ecologia | Biologia | Khan Academy,Este vídeo ensina: Como a energia do sol impulsiona o ciclo da água na Terra. Assista a próxima aula: ...,26,0,878,0,0
LiAG8msnc4E,Kirchhoff's voltage law  Circuit analysis  Electrical engineering  Khan Academy,"Mission to provide a world-class education for anyone, anywhere. All Khan Academy content is available for free at www.khanacademy.org.",0,0,5,0,0
F2tqV9u9vzY,Zoroastrianism | World History | Khan Academy,"A primer on the Zoroastrian religion. Discussions of Zarathustra, Ahura Mazda and the Avesta. Missed the previous lesson? Watch here: ...",427,9,17768,0,66
4skWeiSo-1k,Khan Academy : Talent search 2016 -India,Nucleus : The Structure and the Function.,0,0,111,0,2
jY5IOlAJVa4,Khan Academy Providing Free Online Education to People Worldwide,"The Khan Lab School, founded by Salman Khan, is an experimental school in Silicon Valley, California, that disrupts the conventional educational model.",7,1,490,0,4
yGJgWUAxvjY,Esclarecimento sobre os primeiros seres vivos em solo | Biologia | Khan Academy,Este vídeo ensina: Esclarecimento sobre os primeiros seres vivos em solo (Este vídeo tem direitos autorais sob a licença Create Commons Attribution and ...,18,0,371,0,0
518bn_zin_Y,Feedbacks negativos e positivos | Princípios de fisiologia | Biologia | Khan Academy,Este vídeo ensina: Sr. Andersen fala sobre loops de feedback positivo e negativo. Perdeu a aula anterior? Assista aqui: ...,28,0,1709,0,0
EqEEndY0sT8,Cyrus the Great establishes the Achaemenid Empire | World History | Khan Academy,Cyrus the Great overthrows the Medians to establish the Achaemenid Empire (Persian Empire). Practice this yourself on Khan Academy right now: ...,153,2,9023,0,25
su_LWo7wpYU,Share your career story with Khan Academy for our new series,"We're working on a new video series to help anyone, anywhere achieve their career and financial goals. Submit your career story for a chance to be featured in ...",750,21,97947,0,104
uLN8VIcvClo,Overview of ancient Persia | World History | Khan Academy,"This overview of Ancient Persia explains the origins of the term ""Persia"" and Zoroastrianism; it also puts the Median, Achaemenid, Seleucid, Parthian, Sassanian ...",198,1,10555,0,19
GFLgtdgqHdM,O ciclo do carbono | Ecologia | Biologia | Khan Academy,Este vídeo ensina: Visão geral de como o carbono é reciclado por meio de nossa biosfera no ciclo do carbono. Assista a próxima aula: ...,27,0,397,0,1
WC5i-SFJr7Y,Exemplo trabalhado: Série aritmética (notação sigma) | Matemática | Khan Academy,Este vídeo ensina: Sal calcula a série aritmética Σ(2k+50) para k=1 a 550. Ele faz isso usando a fórmula da série aritmética (a₁+aₙ)*n/2. Assista a próxima ...,1,0,447,0,0
Z0AuK3Rr3RM,Luz e Matéria | Estrutura eletrônica de átomos | Química | Khan Academy,"Este vídeo ensina: A interação entre a luz ea matéria é útil para aprender sobre a estrutura atômica e eletrônica. As aplicações de espectroscopia de IR, UV ...",10,0,234,0,0
I114S4KiOn8,Overview of ancient Greece | World History | Khan Academy,Sal provides an overview of ancient Greece from the Greek Dark Ages to Archaic Greece to the Classical and Hellenistic periods. Familiarity with the major greek ...,255,4,17779,0,24
dYjRU5y186E,Khan Academy Style Dynamic Search Bar Tutorial,Source Code: https://github.com/SonarSystems/Khan-Academy-Style-Code-Snippets https://www.khanacademy.org/ Like our content and want to support us ...,13,0,886,0,4
DWyfS9kzalQ,Alexander the Great conquers Persia | World History | Khan Academy,How did Alexander the Great take over Persia? Sal explains. Watch the next lesson: ...,328,19,24630,0,96
Sa5eqaYwQ2Q,Alexander the Great takes power | World History | Khan Academy,Alexander the Great takes power Watch the next lesson: ...,113,6,11483,0,19
yCUs43CYMoI,Philip of Macedon unifies Greece | World History | Khan Academy,"How did Philip of Macedon unify Greece? Sal discusses his rise to power, the League of Corinth, and the rise of Alexander the Great. Watch the next lesson: ...",128,3,11148,0,47
CNN2d7uG6IY,The Peloponnesian War | World History | Khan Academy,"An overview of the Peloponnesian War, including the Archidamian War, the Athenian attack on Syracuse, and the Decelean War. Missed the previous lesson?",154,8,17323,0,22
B736-QoSLh8,Prelude to the Peloponnesian War | World History | Khan Academy,Tensions rise between Athens and Sparta. This leads to the Peloponnesian War. Watch the next lesson: ...,113,4,10218,0,18
pwwNxWXf1eU,Beginning of the Greco Persian Wars | World History | Khan Academy,What were the Greco Persian wars and how did they start? Sal explains. Watch the next lesson: ...,170,2,13018,0,18
z7JliDhUA_U,Khan Academy Style Dropdown Navigation Tutorial,Source Code: https://github.com/SonarSystems/Khan-Academy-Style-Code-Snippets https://www.khanacademy.org/ Like our content and want to support us ...,12,2,1444,0,2
6Hybv45BfWI,Bacterial Meningitis Khan Academy,"Mission to provide a world-class education for anyone, anywhere. All Khan Academy content is available for free at www.khanacademy.org.",1,0,158,0,0
yS8jY8eXg2I,IPSD 204: Linking College Board & Khan Academy Accounts,"Learn how to setup and link College Board and Khan Academy accounts. This will allow students to access their PSAT score reports the week of December 5th, ...",5,0,2163,0,1
